932,10
933,9
934,12
1011,12
1012,16
1013,17
1014,15
1015,12
1016,11
1021,0
1022,19
1023,0
1024,0
1031,11
1032,9
1033,0
1034,9
1035,10
1041,16
111,2
112,4
113,5
114,5
115,6
116,7
121,10
122,10
123,11
124,11
125,10
131,12
132,12
133,9
134,11
135,11
136,11
211,4
212,4
213,4
221,4
222,4
223,4
224,4
311,4
312,4
313,4
314,4
321,4
322,2
323,2
411,4
412,4
413,5
421,10
422,10
423,4
424,4
425,5
426,4
431,13
432,4
433,10
434,7
435,17
436,0
511,0
512,4
513,4
514,4
515,4
521,6
522,9
523,10
531,6
532,4
533,7
541,15
542,14
543,0
611,2
612,2
613,3
614,3
615,3
616,3
621,4
622,4
623,5
624,5
711,2
712,2
713,2
721,7
731,5
741,4
811,0
812,4
821,2
822,2
823,3
824,3
825,2
826,4
831,0
832,5
833,5
834,4
835,6
836,6
841,7
842,7
843,7
844,11
845,11
846,11
847,11
851,11
852,11
853,9
854,9
855,11
856,11
857,11
858,11
861,15
862,15
863,14
864,14
911,6
912,4
913,9
914,3
915,4
916,4
921,6
922,9
923,6
924,0
925,15
931,11
1042,16
1043,12
1044,12
1111,0
1112,0
1113,0
1114,0
1115,15
1116,0
1121,12
1122,11
1123,12
1124,12
1131,13
1132,9
1133,11
1134,11
1141,10
1142,7
1143,7
1144,14
1145,0
1146,0
1147,13
1211,6
1212,7
1213,9
1214,9
1215,9
1216,13
1217,11
1221,12
1222,15
1223,17
1311,15
1312,16
1313,14
1314,16
1321,14
1322,14
1331,14
1332,14
1333,16
1334,16
1335,13
1336,16
1341,15
1342,15
1343,14
1344,9
1345,12
1346,12
1351,12
1352,11
1353,9
1354,10
1355,10
1411,2
1412,4
1413,4
1414,2
1415,2
1421,2
1422,2
1423,2
1424,2
1511,2
1512,2
1513,2
1514,3
1521,3
1522,3
1523,3
1611,4
1612,4
1613,4
1614,4
1621,11
1622,11
1623,11
1631,9
1632,11
1633,10
1634,12
1641,10
1642,11
1643,12
1644,12
